id_casas,Casas,Regiao
1,Algood,Westerlands
2,Allyrion of Godsgrace,Dorne
3,Amber,North
4,Ambrose,Reach
5,Andrik of Southshield,Iron Islands (Shield Islands)
6,Appleton of Appleton,Reach
7,Arryn of Gulltown,Vale of Arryn
8,Arryn of the Eyrie,Vale of Arryn
9,Ashford of Ashford,Reach
10,Ashwood,North
11,Baelish of Harrenhal,Riverlands
12,Baelish of the Fingers,Vale of Arryn
13,Ball,Reach
14,Banefort of Banefort,Westerlands
15,Bar Emmon of Sharp Point,Crownlands (Dragonstone)
16,Baratheon of Dragonstone,Crownlands (Dragonstone)
17,Baratheon of King's Landing,Crownlands
18,Baratheon of Storm's End,Stormlands
19,Beesbury of Honeyholt,Reach
20,Belgrave,Unknown
21,Belmore of Strongsong,Vale of Arryn
22,Bettley,Westerlands
23,Bigglestone,Riverlands
24,Blackbar of Bandallon,Reach
25,Blackberry,Unknown
26,Blackfyre,Crownlands
27,Blackmont of Blackmont,Dorne
28,Blackmyre,North (Crannogmen)
29,Blacktyde of Blacktyde,Iron Islands
30,Blackwood of Raventree Hall,Riverlands
31,Blanetree,Riverlands
32,Blount,Crownlands
33,Boggs,Crownlands (Crackclaw Point)
34,Boggs,North (Crannogmen)
35,Bole,North (Wolfswood Clans)
36,Bolling,Stormlands
37,Bolton of the Dreadfort,North
38,Bolton of Winterfell,North
39,Borrell of Sweetsister,Vale of Arryn (Sistermen)
40,Botley of Lordsport,Iron Islands
41,Bracken of Stone Hedge,Riverlands
42,Branch,North (Wolfswood Clans)
43,Brax of Hornvale,Westerlands
44,Breakstone,Vale of Arryn
45,Briar,Dorne
46,Bridges,Reach
47,Brightstone,Vale of Arryn
48,Brook,Dorne
49,Broom,Westerlands
50,Brownhill,Dorne
51,Brune of Brownhollow,Crownlands (Crackclaw Point)
52,Brune of the Dyre Den,Crownlands (Crackclaw Point)
53,Buckler of Bronzegate,Stormlands
54,Buckwell of the Antlers,Crownlands
55,Bulwer of Blackcrown,Reach
56,Burley,North (Mountain Clans)
57,Bushy,Reach
58,Butterwell of Whitewalls,Riverlands
59,Byrch,Crownlands
60,Bywater,Crownlands
61,Cafferen of Fawnton,Stormlands
62,Cargyll,Crownlands
63,Caron of Nightsong,Stormlands (Marcher Lords)
64,Cassel,North
65,Casterly of Casterly Rock,Westerlands
66,Caswell of Bitterbridge,Reach
67,Cave,Crownlands (Crackclaw Point)
68,Celtigar of Claw Isle,Crownlands (Dragonstone)
69,Cerwyn of Castle Cerwyn,North
70,Chambers,Riverlands
71,Charlton,Riverlands
72,Chelsted,Crownlands
73,Chester of Greenshield,Reach (Shield Islands)
74,Chyttering,Crownlands
75,Clegane of Clegane's Keep,Westerlands
76,Clifton,Westerlands
77,Cobb,Reach
78,Cockshaw,Reach
79,Codd,Iron Islands
80,Coldwater of Coldwater Burn,Vale of Arryn
81,Cole,Stormlands
82,Condon,North
83,Conklyn,Reach
84,Connington of Griffin's Roost,Stormlands
85,Corbray of Heart's Home,Vale of Arryn
86,Cordwayner of Hammerhal,Reach
87,Costayne of the Three Towers,Reach
88,Cox of Saltpans,Riverlands
89,Crabb of the Whispers,Crownlands (Crackclaw Point)
90,Crakehall of Crakehall,Westerlands
91,Crane of Red Lake,Reach
92,Cray,North (Crannogmen)
93,Cressey,Crownlands
94,Crowl of Deepdown,North (Skagosi Clans)
95,Cupps,Unknown
96,Cuy of Sunhouse,Reach
97,Dalt of Lemonwood,Dorne
98,Dargood,Crownlands
99,Darke,Crownlands
100,Darklyn of Duskendale,Crownlands
101,Darkwood,Crownlands
102,Darry of Darry,Riverlands
103,Dayne of High Hermitage,Dorne
104,Dayne of Starfall,Dorne
105,Deddings,Riverlands
106,Doggett,Westerlands
107,Dondarrion of Blackhaven,Stormlands (Marcher Lords)
108,Donniger,Vale of Arryn
109,Drinkwater,Dorne
110,Drox,Westerlands
111,Drumm of Old Wyk,Iron Islands
112,Dryland of Hellgate Hall,Dorne
113,Dunn,Reach
114,Durrandon,Stormlands
115,Durwell,Reach
116,Dustin of Barrowton,North
117,Edgerton,Crownlands
118,Egen,Vale of Arryn
119,Elesham of the Paps,Vale of Arryn
120,Erenford,Riverlands
121,Errol of Haystack Hall,Stormlands
122,Estermont of Greenstone,Stormlands
123,Estren of Wyndhall,Westerlands
124,Falwell,Westerlands
125,Farman of Faircastle,Westerlands
126,Farring,Crownlands
127,Farrow,Unknown
128,Farwynd of Sealskin Point,Iron Islands
129,Farwynd of the Lonely Light,Iron Islands
130,Fell of Felwood,Stormlands
131,Fenn,North (Crannogmen)
132,Ferren,Westerlands
133,Fisher of the Misty Isle,Riverlands
134,Fisher of the Stony Shore,North
135,Flint of Breakstone Hill,North
136,Flint of Flint's Finger,North
137,Flint of the mountains,North (Mountain Clans)
138,Flint of Widow's Watch,North
139,Florent of Brightwater Keep,Reach
140,Follard,Crownlands
141,Foote,Westerlands
142,Foote of Nightsong,Stormlands (Marcher Lords)
143,Footly of Tumbleton,Reach
144,Forrester,North (Wolfswood Clans)
145,Fossoway of Cider Hall,Reach
146,Fossoway of New Barrel,Reach
147,Fowler of Skyreach,Dorne
148,Frey of Riverrun,Riverlands
149,Frey of the Crossing,Riverlands
150,Frost,North
151,Gardener of Highgarden,Reach
152,Gargalen of Salt Shore,Dorne
153,Garner,Westerlands
154,Gaunt,Crownlands
155,Glover of Deepwood Motte,North
156,Goodbrook,Riverlands
157,Goodbrother of Corpse Lake,Iron Islands
158,Goodbrother of Crow Spike Keep,Iron Islands
159,Goodbrother of Downdelving,Iron Islands
160,Goodbrother of Orkmont,Iron Islands
161,Goodbrother of Shatterstone,Iron Islands
162,Goodbrother of Hammerhorn,Iron Islands
163,Goode,Unknown
164,Gower,Stormlands
165,Graceford of Holyhall,Reach
166,Grafton of Gulltown,Vale of Arryn
167,Grandison of Grandview,Stormlands
168,Graves,Reach
169,Greenfield of Greenfield,Westerlands
170,Greengood,North (Crannogmen)
171,Greenhill,Unknown
172,Greenwood,North
173,Grell,Riverlands
174,Grey,Riverlands
175,Greyiron of Orkmont,Iron Islands
176,Greyjoy of Pyke,Iron Islands
177,Greystark of the Wolf's Den,North
178,Grimm of Greyshield,Reach (Shield Islands)
179,Groves,Unknown
180,Haigh,Riverlands
181,Hamell,Westerlands
182,Harclay,North (Mountain Clans)
183,Hardy,Crownlands (Crackclaw Point)
184,Hardyng,Vale of Arryn
185,Harlaw of Grey Garden,Iron Islands (Shield Islands)
186,Harlaw of Harlaw Hall,Iron Islands
187,Harlaw of Harridan Hill,Iron Islands
188,Harlaw of Harlaw,Iron Islands
189,Harlaw of the Tower of Glimmering,Iron Islands
190,Harroway of Harrenhal,Riverlands
191,Harte,Crownlands
192,Hastwyck,Reach
193,Hasty,Stormlands
194,Hawick of Saltpans,Riverlands
195,Hawthorne,Westerlands
196,Hayford of Hayford,Crownlands
197,Heddle,Riverlands
198,Herston,Stormlands
199,Hersy of Newkeep,Vale of Arryn
200,Hetherspoon,Westerlands
201,Hewett of Oakenshield,Reach (Shield Islands)
202,Hightower of the Hightower,Reach
203,Hoare of Orkmont,Iron Islands (origin)
204,Hogg of Sow's Horn,Crownlands
205,Hollard,Crownlands
206,Holt,North
207,Holt,Dorne
208,Hook,Riverlands
209,Hornwood of Hornwood,North
210,Horpe,Stormlands
211,Hull,Dorne
212,Humble,Iron Islands
213,Hunt,Reach
214,Hunter of Longbow Hall,Vale of Arryn
215,Hutcheson,Reach
216,Inchfield,Reach
217,Ironmaker,Iron Islands
218,Ironsmith,North
219,Jast,Westerlands
220,Jordayne of the Tor,Dorne
221,Justman,Riverlands
222,Karstark of Karhold,North
223,Keath,Riverlands
224,Kellington,Stormlands
225,Kenning of Harlaw,Iron Islands
226,Kenning of Kayce,Westerlands
227,Kettleblack,Crownlands
228,Kidwell of Ivy Hall,Reach
229,Knott,North (Mountain Clans)
230,Kyndall,Westerlands
231,Ladybright,Dorne
232,Lake,Dorne
233,Lake,North
234,Langward,Crownlands
235,Lannett,Westerlands
236,Lannister of Casterly Rock,Westerlands
237,Lannister of Darry,Riverlands
238,Lannister of Lannisport,Westerlands
239,Lanny,Westerlands
240,Lantell,Westerlands
241,Leek,Unknown
242,Lefford of the Golden Tooth,Westerlands
243,Leygood,Reach
244,Liddle,North (Mountain Clans)
245,Lightfoot,North
246,Lipps,Vale of Arryn
247,Locke of Oldcastle,North
